"","isl_pkc","ship_pkc","isl_exp","ship_exp","isl_blc","ship_blc","both_pkc","both_exp","both_blc","choice","expert"
"1",1,1,9,9,1,1,1,9,1,"1","1"
"2",2.5,1.5,7,8,1,1,2,7.5,1,"1","1"
"3",1.5,3,9,8,1,1,2.25,8.5,1,"1","1"
"4",1,1,9,9,1,1,1,9,1,"1","1"
"5",1,1,9,9,1,1,1,9,1,"1","1"
"6",1,1,8,8,1,1,1,8,1,"1","1"
"7",1,1,1,9,1,1,1,5,1,"1","1"
"8",1,1,9,9,1,1,1,9,1,"1","1"
"9",1,1,9,8,1,1,1,8.5,1,"1","1"
"10",2,1,8,8,1,1,1.5,8,1,"1","1"
"11",3.5,6,7,8,1.5,2,4.75,7.5,1.75,"1","1"
"12",2,2,8,8,1,1,2,8,1,"1","1"
"13",3,1,9,9,1,1,2,9,1,"1","1"
"14",2,1,9,9,2,1,1.5,9,1.5,"1","1"
"15",1,1,9,9,1,1,1,9,1,"1","1"
"16",1,2,9,9,1,2,1.5,9,1.5,"1","1"
"17",1,2.5,7,8,1,2,1.75,7.5,1.5,"1","1"
"18",5,4.5,6,6,4,3,4.75,6,3.5,"1","1"
"19",2.5,2.5,9,3,1.5,2,2.5,6,1.75,"1","1"
"20",7,7,7,9,6.5,6.5,7,8,6.5,"1","1"
"21",1.5,1.5,8,8,1,1,1.5,8,1,"1","1"
"22",1,1,6,6,1,1,1,6,1,"1","1"
"23",1.5,1,8,8,1,1,1.25,8,1,"1","1"
"24",1,1,7,7,1,1,1,7,1,"1","1"
"25",1,1,9,9,1,1,1,9,1,"1","1"
"26",1,3,9,9,1,1,2,9,1,"1","1"
"27",1,1,9,9,1,1,1,9,1,"1","1"
"28",1,1,9,9,1,1,1,9,1,"1","1"
"29",1,1,9,9,1,1,1,9,1,"1","1"
"30",2,3,9,9,1,1,2.5,9,1,"1","1"
"31",2.5,2.5,9,9,1,1,2.5,9,1,"1","1"
"32",7.5,6.5,7,7,7.5,7.5,7,7,7.5,"1","1"
"33",4.5,1,9,5,2,1,2.75,7,1.5,"1","1"
"34",2,2,8,7,1,3,2,7.5,2,"1","1"
"35",1,1,9,9,1,1,1,9,1,"1","1"
"36",1.5,1,8,8,1,1,1.25,8,1,"1","1"
"37",1,1,9,9,1,1,1,9,1,"1","1"
"38",1,1,9,9,1,1,1,9,1,"1","1"
"39",1,1,9,9,1,2.5,1,9,1.75,"1","1"
"40",1.5,2,9,8,1,1,1.75,8.5,1,"1","1"
"41",1.5,2.5,9,9,1.5,1.5,2,9,1.5,"1","1"
"42",1,1,9,9,1,1,1,9,1,"1","1"
"43",2,1.5,6,6,1.5,1,1.75,6,1.25,"1","1"
"44",6,4,9,9,1.5,4,5,9,2.75,"1","1"
"45",1,1,9,9,2,2,1,9,2,"1","1"
"46",2.5,2.5,8,9,1,2,2.5,8.5,1.5,"1","1"
"47",3,2.5,7,7,1,1,2.75,7,1,"1","1"
"48",3,3.5,5,3,2.5,2.5,3.25,4,2.5,"1","1"
"49",1,2,7,5,1,1,1.5,6,1,"1","1"
"50",1,1,9,9,1,1,1,9,1,"1","1"
"51",1,1,8,7,1,1,1,7.5,1,"1","1"
"52",1,1,9,8,1,1,1,8.5,1,"1","1"
"53",1,1,6,6,1,1,1,6,1,"1","1"
"54",1,1,9,9,1,1,1,9,1,"1","1"
"55",1.5,1.5,9,9,1,2,1.5,9,1.5,"1","1"
"56",1,2.5,9,8,1,2,1.75,8.5,1.5,"1","1"
"57",1,1,9,9,1,1,1,9,1,"1","1"
"58",1,1,9,7,1,4.5,1,8,2.75,"1","1"
"59",1,1,5,6,1,1,1,5.5,1,"1","1"
"60",1,1,9,9,1,1,1,9,1,"1","1"
"61",1,3,9,9,1,1,2,9,1,"1","1"
"62",2,1.5,7,7,2,3,1.75,7,2.5,"1","1"
"63",4.5,1.5,9,9,1.5,2,3,9,1.75,"1","1"
"64",1.5,1,9,9,1,1.5,1.25,9,1.25,"1","1"
"65",1,1.5,9,9,1,1,1.25,9,1,"1","1"
"66",1,1,8,8,2,2,1,8,2,"1","1"
"67",4,6,8,5,1.5,7,5,6.5,4.25,"1","1"
"68",2,4,8,7,1,2.5,3,7.5,1.75,"1","1"
"69",6.5,2,9,8,1,1,4.25,8.5,1,"1","1"
"70",3,3,7,7,3,3,3,7,3,"1","1"
"71",1,1,9,9,1,1,1,9,1,"1","1"
"72",1,1,9,9,1,1,1,9,1,"1","1"
"73",2,1.5,8,9,1,1,1.75,8.5,1,"1","1"
"74",3.5,1.5,9,9,1,1,2.5,9,1,"1","1"
"75",1,3,6,7,1,1,2,6.5,1,"1","1"
"76",3,1,8,6,1,1,2,7,1,"1","1"
"77",1,1,9,9,1,1,1,9,1,"1","1"
"78",4,3,7,7,2,2,3.5,7,2,"1","1"
"79",1,1,9,9,1,1,1,9,1,"1","1"
"80",1,1,9,9,1,1,1,9,1,"1","1"
"81",1,5,8,8,1,1,3,8,1,"1","1"
"82",4,3.5,8,8,3,3.5,3.75,8,3.25,"1","1"
"83",1,1,9,9,1.5,1.5,1,9,1.5,"1","1"
"84",1,1,9,9,1.5,1.5,1,9,1.5,"1","1"
"85",3,5,6,5,3,6,4,5.5,4.5,"1","1"
"86",1,1,5,9,1,1,1,7,1,"1","1"
"87",1.5,1,8,8,1,1,1.25,8,1,"1","1"
"88",2,2,8,8,1,1,2,8,1,"1","1"
"89",1,2,9,8,1.5,3,1.5,8.5,2.25,"1","1"
"90",3,3,9,9,1,1,3,9,1,"1","1"
"91",2,2.5,8,9,1,1,2.25,8.5,1,"1","1"
"92",1,2,6,9,1,1,1.5,7.5,1,"1","1"
"93",1,1,9,9,1,1,1,9,1,"1","1"
"94",1,1,5,5,1,1,1,5,1,"1","1"
"95",2,4.5,8,8,1,1,3.25,8,1,"1","1"
"96",2,2,8,8,1,1,2,8,1,"1","1"
"97",1,1,9,9,1,1,1,9,1,"1","1"
"98",5.5,6.5,8,8,3.5,6.5,6,8,5,"1","1"
"99",1,1,5,7,1,1,1,6,1,"1","1"
"100",4.5,4.5,7,9,1,2.5,4.5,8,1.75,"1","1"
"101",1,3,9,9,1,1,2,9,1,"1","1"
"102",1,1,9,9,1,1,1,9,1,"1","1"
"103",2,1.5,9,9,2,2,1.75,9,2,"1","1"
"104",7,5,7,7,4.5,4.5,6,7,4.5,"1","1"
"105",2,2.5,8,8,1,1,2.25,8,1,"1","1"
"106",1,1,9,9,1,1,1,9,1,"1","1"
"107",1.5,1.5,8,8,1.5,1.5,1.5,8,1.5,"1","1"
"108",2.5,3,8,7,2,3,2.75,7.5,2.5,"1","1"
"109",4.5,5.5,7,7,5,6.5,5,7,5.75,"1","1"
"110",5,5.5,8,6,1,2,5.25,7,1.5,"1","1"
"111",1,1,9,9,1,1,1,9,1,"1","1"
"112",1,1,9,9,1,1,1,9,1,"1","1"
"113",4,1,5,6,6,3.5,2.5,5.5,4.75,"1","1"
"114",4.5,5.5,5,4,5,5,5,4.5,5,"1","1"
"115",1,1.5,9,9,1,1,1.25,9,1,"1","1"
"116",1,1,9,9,1,1,1,9,1,"1","1"
"117",1,1,9,9,1,1,1,9,1,"1","1"
"118",2,1,9,9,1,1,1.5,9,1,"1","1"
"119",1,1,9,9,1,1,1,9,1,"1","1"
"120",1,1,9,9,1,1,1,9,1,"1","1"
"121",2,2,9,9,4,4.5,2,9,4.25,"1","1"
"122",6.5,4.5,6,7,3.5,1.5,5.5,6.5,2.5,"1","1"
"123",5,4.5,5,4,5.5,7,4.75,4.5,6.25,"1","1"
"124",1,1.5,8,5,1,1,1.25,6.5,1,"1","1"
"125",2.5,1,8,5,1,1,1.75,6.5,1,"1","1"
"126",1,1,9,9,1,1,1,9,1,"1","1"
"127",4,4.5,6,7,3.5,3,4.25,6.5,3.25,"1","1"
"128",1,1,9,9,1,1,1,9,1,"1","1"
"129",1,1,9,9,1,1,1,9,1,"1","1"
"130",3.5,1,7,8,2,1,2.25,7.5,1.5,"1","1"
"131",2.5,2.5,7,7,2,2,2.5,7,2,"1","1"
"132",1,1,8,8,1,1,1,8,1,"1","1"
"133",3.5,3.5,9,9,1,1,3.5,9,1,"1","1"
"134",2,3,8,8,1,1,2.5,8,1,"1","1"
"135",1,1,8,9,1,1,1,8.5,1,"1","1"
"136",1.5,1.5,9,9,1,1,1.5,9,1,"1","1"
"137",1,1.5,8,8,1,1,1.25,8,1,"1","1"
"138",1,1,9,9,1,1,1,9,1,"1","1"
"139",1,1,9,9,1,1,1,9,1,"1","1"
"140",1,1,8,9,1,1,1,8.5,1,"1","1"
"141",4,1,6,8,1,1,2.5,7,1,"1","1"
"142",1,1,9,9,1,1,1,9,1,"1","1"
"143",3,3,5,9,1,1,3,7,1,"1","1"
"144",1,1,9,9,1,1,1,9,1,"1","1"
"145",2.5,2,7,8,2,2,2.25,7.5,2,"1","1"
"146",3.5,3,9,9,2,1.5,3.25,9,1.75,"1","1"
"147",5.5,4.5,6,6,2,2,5,6,2,"1","1"
"148",1.5,2,7,7,1,1,1.75,7,1,"1","1"
"149",1,1,8,8,1,1,1,8,1,"1","1"
"150",1.5,5,9,5,1,1,3.25,7,1,"1","1"
"151",2.5,2.5,6,7,2,3,2.5,6.5,2.5,"1","1"
"152",1,1,8,8,1,1,1,8,1,"1","1"
"153",2.5,4,8,7,2.5,3.5,3.25,7.5,3,"1","1"
"154",1.5,1.5,9,9,1,1,1.5,9,1,"1","1"
"155",1.5,1,9,9,1,1,1.25,9,1,"1","1"
"156",1,1,9,5,1,1,1,7,1,"1","1"
"157",1,1,9,9,1,1,1,9,1,"1","1"
"158",3,4.5,7,6,1,4.5,3.75,6.5,2.75,"1","1"
"159",1.5,1,9,9,1,1,1.25,9,1,"1","1"
"160",1.5,1,9,9,1,1,1.25,9,1,"1","1"
"161",1,2,9,7,1,1,1.5,8,1,"1","1"
"162",3,NA,8,NA,1,NA,NA,NA,NA,"1","1"
"163",1,NA,8,NA,1,NA,NA,NA,NA,"1","1"
"164",4.5,NA,6,NA,3.5,NA,NA,NA,NA,"1","1"
"165",4,NA,7,NA,1,NA,NA,NA,NA,"1","1"
"166",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"167",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"168",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"169",4.5,NA,6,NA,4,NA,NA,NA,NA,"1","1"
"170",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"171",1,NA,9,NA,1.5,NA,NA,NA,NA,"1","1"
"172",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"173",2.5,NA,7,NA,3,NA,NA,NA,NA,"1","1"
"174",2.5,NA,6,NA,1,NA,NA,NA,NA,"1","1"
"175",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"176",1,NA,8,NA,1,NA,NA,NA,NA,"1","1"
"177",2.5,NA,7,NA,2.5,NA,NA,NA,NA,"1","1"
"178",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"179",1,NA,9,NA,2,NA,NA,NA,NA,"1","1"
"180",1,NA,5,NA,1,NA,NA,NA,NA,"1","1"
"181",8,NA,9,NA,7.5,NA,NA,NA,NA,"1","1"
"182",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"183",1,NA,7,NA,1,NA,NA,NA,NA,"1","1"
"184",1,NA,9,NA,1,NA,NA,NA,NA,"1","1"
"185",1,NA,5,NA,3,NA,NA,NA,NA,"1","1"
"186",NA,5.5,NA,5,NA,5.5,NA,NA,NA,"1","1"
"187",NA,4.5,NA,7,NA,6,NA,NA,NA,"1","1"
"188",NA,6,NA,4,NA,5.5,NA,NA,NA,"1","1"
"189",NA,1.5,NA,8,NA,1,NA,NA,NA,"1","1"
"190",NA,1.5,NA,9,NA,1,NA,NA,NA,"1","1"
