"","isl_pkc","ship_pkc","isl_exp","ship_exp","isl_blc","ship_blc","both_pkc","both_exp","both_blc","choice","expert"
"1","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"2","2.50","1.50","7","8","1.00","1.00","2.00","7.50","1.00",1,1
"3","1.50","3.00","9","8","1.00","1.00","2.25","8.50","1.00",1,1
"4","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"5","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"6","1.00","1.00","8","8","1.00","1.00","1.00","8.00","1.00",1,1
"7","1.00","1.00","1","9","1.00","1.00","1.00","5.00","1.00",1,1
"8","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"9","1.00","1.00","9","8","1.00","1.00","1.00","8.50","1.00",1,1
"10","2.00","1.00","8","8","1.00","1.00","1.50","8.00","1.00",1,1
"11","3.50","6.00","7","8","1.50","2.00","4.75","7.50","1.75",1,1
"12","2.00","2.00","8","8","1.00","1.00","2.00","8.00","1.00",1,1
"13","3.00","1.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"14","2.00","1.00","9","9","2.00","1.00","1.50","9.00","1.50",1,1
"15","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"16","1.00","2.00","9","9","1.00","2.00","1.50","9.00","1.50",1,1
"17","1.00","2.50","7","8","1.00","2.00","1.75","7.50","1.50",1,1
"18","5.00","4.50","6","6","4.00","3.00","4.75","6.00","3.50",1,1
"19","2.50","2.50","9","3","1.50","2.00","2.50","6.00","1.75",1,1
"20","7.00","7.00","7","9","6.50","6.50","7.00","8.00","6.50",1,1
"21","1.50","1.50","8","8","1.00","1.00","1.50","8.00","1.00",1,1
"22","1.00","1.00","6","6","1.00","1.00","1.00","6.00","1.00",1,1
"23","1.50","1.00","8","8","1.00","1.00","1.25","8.00","1.00",1,1
"24","1.00","1.00","7","7","1.00","1.00","1.00","7.00","1.00",1,1
"25","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"26","1.00","3.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"27","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"28","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"29","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"30","2.00","3.00","9","9","1.00","1.00","2.50","9.00","1.00",1,1
"31","2.50","2.50","9","9","1.00","1.00","2.50","9.00","1.00",1,1
"32","7.50","6.50","7","7","7.50","7.50","7.00","7.00","7.50",1,1
"33","4.50","1.00","9","5","2.00","1.00","2.75","7.00","1.50",1,1
"34","2.00","2.00","8","7","1.00","3.00","2.00","7.50","2.00",1,1
"35","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"36","1.50","1.00","8","8","1.00","1.00","1.25","8.00","1.00",1,1
"37","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"38","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"39","1.00","1.00","9","9","1.00","2.50","1.00","9.00","1.75",1,1
"40","1.50","2.00","9","8","1.00","1.00","1.75","8.50","1.00",1,1
"41","1.50","2.50","9","9","1.50","1.50","2.00","9.00","1.50",1,1
"42","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"43","2.00","1.50","6","6","1.50","1.00","1.75","6.00","1.25",1,1
"44","6.00","4.00","9","9","1.50","4.00","5.00","9.00","2.75",1,1
"45","1.00","1.00","9","9","2.00","2.00","1.00","9.00","2.00",1,1
"46","2.50","2.50","8","9","1.00","2.00","2.50","8.50","1.50",1,1
"47","3.00","2.50","7","7","1.00","1.00","2.75","7.00","1.00",1,1
"48","3.00","3.50","5","3","2.50","2.50","3.25","4.00","2.50",1,1
"49","1.00","2.00","7","5","1.00","1.00","1.50","6.00","1.00",1,1
"50","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"51","1.00","1.00","8","7","1.00","1.00","1.00","7.50","1.00",1,1
"52","1.00","1.00","9","8","1.00","1.00","1.00","8.50","1.00",1,1
"53","1.00","1.00","6","6","1.00","1.00","1.00","6.00","1.00",1,1
"54","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"55","1.50","1.50","9","9","1.00","2.00","1.50","9.00","1.50",1,1
"56","1.00","2.50","9","8","1.00","2.00","1.75","8.50","1.50",1,1
"57","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"58","1.00","1.00","9","7","1.00","4.50","1.00","8.00","2.75",1,1
"59","1.00","1.00","5","6","1.00","1.00","1.00","5.50","1.00",1,1
"60","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"61","1.00","3.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"62","2.00","1.50","7","7","2.00","3.00","1.75","7.00","2.50",1,1
"63","4.50","1.50","9","9","1.50","2.00","3.00","9.00","1.75",1,1
"64","1.50","1.00","9","9","1.00","1.50","1.25","9.00","1.25",1,1
"65","1.00","1.50","9","9","1.00","1.00","1.25","9.00","1.00",1,1
"66","1.00","1.00","8","8","2.00","2.00","1.00","8.00","2.00",1,1
"67","4.00","6.00","8","5","1.50","7.00","5.00","6.50","4.25",1,1
"68","2.00","4.00","8","7","1.00","2.50","3.00","7.50","1.75",1,1
"69","6.50","2.00","9","8","1.00","1.00","4.25","8.50","1.00",1,1
"70","3.00","3.00","7","7","3.00","3.00","3.00","7.00","3.00",1,1
"71","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"72","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"73","2.00","1.50","8","9","1.00","1.00","1.75","8.50","1.00",1,1
"74","3.50","1.50","9","9","1.00","1.00","2.50","9.00","1.00",1,1
"75","1.00","3.00","6","7","1.00","1.00","2.00","6.50","1.00",1,1
"76","3.00","1.00","8","6","1.00","1.00","2.00","7.00","1.00",1,1
"77","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"78","4.00","3.00","7","7","2.00","2.00","3.50","7.00","2.00",1,1
"79","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"80","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"81","1.00","5.00","8","8","1.00","1.00","3.00","8.00","1.00",1,1
"82","4.00","3.50","8","8","3.00","3.50","3.75","8.00","3.25",1,1
"83","1.00","1.00","9","9","1.50","1.50","1.00","9.00","1.50",1,1
"84","1.00","1.00","9","9","1.50","1.50","1.00","9.00","1.50",1,1
"85","3.00","5.00","6","5","3.00","6.00","4.00","5.50","4.50",1,1
"86","1.00","1.00","5","9","1.00","1.00","1.00","7.00","1.00",1,1
"87","1.50","1.00","8","8","1.00","1.00","1.25","8.00","1.00",1,1
"88","2.00","2.00","8","8","1.00","1.00","2.00","8.00","1.00",1,1
"89","1.00","2.00","9","8","1.50","3.00","1.50","8.50","2.25",1,1
"90","3.00","3.00","9","9","1.00","1.00","3.00","9.00","1.00",1,1
"91","2.00","2.50","8","9","1.00","1.00","2.25","8.50","1.00",1,1
"92","1.00","2.00","6","9","1.00","1.00","1.50","7.50","1.00",1,1
"93","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"94","1.00","1.00","5","5","1.00","1.00","1.00","5.00","1.00",1,1
"95","2.00","4.50","8","8","1.00","1.00","3.25","8.00","1.00",1,1
"96","2.00","2.00","8","8","1.00","1.00","2.00","8.00","1.00",1,1
"97","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"98","5.50","6.50","8","8","3.50","6.50","6.00","8.00","5.00",1,1
"99","1.00","1.00","5","7","1.00","1.00","1.00","6.00","1.00",1,1
"100","4.50","4.50","7","9","1.00","2.50","4.50","8.00","1.75",1,1
"101","1.00","3.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"102","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"103","2.00","1.50","9","9","2.00","2.00","1.75","9.00","2.00",1,1
"104","7.00","5.00","7","7","4.50","4.50","6.00","7.00","4.50",1,1
