,isl_pkc,ship_pkc,isl_exp,ship_exp,isl_blc,ship_blc,both_pkc,both_exp,both_blc,choice,expert,group
1,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
2,2.5,1.5,7,8,1,1,2,7.5,1,1,1,Optimal/Expert
3,1.5,3,9,8,1,1,2.25,8.5,1,1,1,Optimal/Expert
4,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
5,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
6,1,1,8,8,1,1,1,8,1,1,1,Optimal/Expert
7,1,1,1,9,1,1,1,5,1,1,1,Optimal/Expert
8,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
9,1,1,9,8,1,1,1,8.5,1,1,1,Optimal/Expert
10,2,1,8,8,1,1,1.5,8,1,1,1,Optimal/Expert
11,3.5,6,7,8,1.5,2,4.75,7.5,1.75,1,1,Optimal/Expert
12,2,2,8,8,1,1,2,8,1,1,1,Optimal/Expert
13,3,1,9,9,1,1,2,9,1,1,1,Optimal/Expert
14,2,1,9,9,2,1,1.5,9,1.5,1,1,Optimal/Expert
15,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
16,1,2,9,9,1,2,1.5,9,1.5,1,1,Optimal/Expert
17,1,2.5,7,8,1,2,1.75,7.5,1.5,1,1,Optimal/Expert
18,5,4.5,6,6,4,3,4.75,6,3.5,1,1,Optimal/Expert
19,2.5,2.5,9,3,1.5,2,2.5,6,1.75,1,1,Optimal/Expert
20,7,7,7,9,6.5,6.5,7,8,6.5,1,1,Optimal/Expert
21,1.5,1.5,8,8,1,1,1.5,8,1,1,1,Optimal/Expert
22,1,1,6,6,1,1,1,6,1,1,1,Optimal/Expert
23,1.5,1,8,8,1,1,1.25,8,1,1,1,Optimal/Expert
24,1,1,7,7,1,1,1,7,1,1,1,Optimal/Expert
25,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
26,1,3,9,9,1,1,2,9,1,1,1,Optimal/Expert
27,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
28,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
29,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
30,2,3,9,9,1,1,2.5,9,1,1,1,Optimal/Expert
31,2.5,2.5,9,9,1,1,2.5,9,1,1,1,Optimal/Expert
32,7.5,6.5,7,7,7.5,7.5,7,7,7.5,1,1,Optimal/Expert
33,4.5,1,9,5,2,1,2.75,7,1.5,1,1,Optimal/Expert
34,2,2,8,7,1,3,2,7.5,2,1,1,Optimal/Expert
35,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
36,1.5,1,8,8,1,1,1.25,8,1,1,1,Optimal/Expert
37,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
38,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
39,1,1,9,9,1,2.5,1,9,1.75,1,1,Optimal/Expert
40,1.5,2,9,8,1,1,1.75,8.5,1,1,1,Optimal/Expert
41,1.5,2.5,9,9,1.5,1.5,2,9,1.5,1,1,Optimal/Expert
42,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
43,2,1.5,6,6,1.5,1,1.75,6,1.25,1,1,Optimal/Expert
44,6,4,9,9,1.5,4,5,9,2.75,1,1,Optimal/Expert
45,1,1,9,9,2,2,1,9,2,1,1,Optimal/Expert
46,2.5,2.5,8,9,1,2,2.5,8.5,1.5,1,1,Optimal/Expert
47,3,2.5,7,7,1,1,2.75,7,1,1,1,Optimal/Expert
48,3,3.5,5,3,2.5,2.5,3.25,4,2.5,1,1,Optimal/Expert
49,1,2,7,5,1,1,1.5,6,1,1,1,Optimal/Expert
50,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
51,1,1,8,7,1,1,1,7.5,1,1,1,Optimal/Expert
52,1,1,9,8,1,1,1,8.5,1,1,1,Optimal/Expert
53,1,1,6,6,1,1,1,6,1,1,1,Optimal/Expert
54,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
55,1.5,1.5,9,9,1,2,1.5,9,1.5,1,1,Optimal/Expert
56,1,2.5,9,8,1,2,1.75,8.5,1.5,1,1,Optimal/Expert
57,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
58,1,1,9,7,1,4.5,1,8,2.75,1,1,Optimal/Expert
59,1,1,5,6,1,1,1,5.5,1,1,1,Optimal/Expert
60,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
61,1,3,9,9,1,1,2,9,1,1,1,Optimal/Expert
62,2,1.5,7,7,2,3,1.75,7,2.5,1,1,Optimal/Expert
63,4.5,1.5,9,9,1.5,2,3,9,1.75,1,1,Optimal/Expert
64,1.5,1,9,9,1,1.5,1.25,9,1.25,1,1,Optimal/Expert
65,1,1.5,9,9,1,1,1.25,9,1,1,1,Optimal/Expert
66,1,1,8,8,2,2,1,8,2,1,1,Optimal/Expert
67,4,6,8,5,1.5,7,5,6.5,4.25,1,1,Optimal/Expert
68,2,4,8,7,1,2.5,3,7.5,1.75,1,1,Optimal/Expert
69,6.5,2,9,8,1,1,4.25,8.5,1,1,1,Optimal/Expert
70,3,3,7,7,3,3,3,7,3,1,1,Optimal/Expert
71,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
72,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
73,2,1.5,8,9,1,1,1.75,8.5,1,1,1,Optimal/Expert
74,3.5,1.5,9,9,1,1,2.5,9,1,1,1,Optimal/Expert
75,1,3,6,7,1,1,2,6.5,1,1,1,Optimal/Expert
76,3,1,8,6,1,1,2,7,1,1,1,Optimal/Expert
77,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
78,4,3,7,7,2,2,3.5,7,2,1,1,Optimal/Expert
79,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
80,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
81,1,5,8,8,1,1,3,8,1,1,1,Optimal/Expert
82,4,3.5,8,8,3,3.5,3.75,8,3.25,1,1,Optimal/Expert
83,1,1,9,9,1.5,1.5,1,9,1.5,1,1,Optimal/Expert
