SubjectNo,Isl_pk1,Isl_pk2,isl_exp,isl_bl1,isl_bl2,isl_check1,isl_check2,ship_pk1,ship_pk2,ship_exp,ship_bl1,ship_bl2,ship_check1,ship_check2,isl_expert,ship_expert,age,gender,ethnicity,political,choice,choice_d,choice_m,expert,expert_d,expert_m,order_first,fir_pk1,fir_pk2,fir_exp,fir_bl1,fir_bl2,isl_pkc,ship_pkc,fir_pkc,isl_blc,ship_blc,fir_blc,both_blc,both_pkc,both_exp,both_pk1,both_pk2,both_bl1,both_bl2
1.00,1,1,9,1,1,1,1,1,1,9,1,1,1,1,7,7,76,1,2,0,1,1.00,0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
2.00,3,2,7,1,1,1,1,1,2,8,1,1,1,1,9,9,19,2,2,2,1,1.00,0.50,1,1.00,0.50,1,3,2,7,1,1,2.50,1.50,2.50,1.00,1.00,1.00,1.00,2.00,7.50,2.00,2.00,1.00,1.00
3.00,2,3,6,1,1,1,1,1,4,5,2,2,1,1,1,4,22,2,2,2,1,1.00,0.50,2,0.00,-0.50,2,1,4,5,2,2,2.50,2.50,2.50,1.00,2.00,2.00,1.50,2.50,5.50,1.50,3.50,1.50,1.50
4.00,1,3,8,2,2,1,1,2,1,7,2,1,1,1,1,1,22,2,5,0,1,1.00,0.50,2,0.00,-0.50,1,1,3,8,2,2,2.00,1.50,2.00,2.00,1.50,2.00,1.75,1.75,7.50,1.50,2.00,2.00,1.50
5.00,1,1,4,1,1,1,1,1,1,5,1,1,1,1,1,1,46,2,2,1,1,1.00,0.50,2,0.00,-0.50,1,1,1,4,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.50,1.00,1.00,1.00,1.00
6.00,1,2,9,1,1,1,1,2,4,8,1,1,1,1,9,9,27,2,2,5,1,1.00,0.50,1,1.00,0.50,1,1,2,9,1,1,1.50,3.00,1.50,1.00,1.00,1.00,1.00,2.25,8.50,1.50,3.00,1.00,1.00
7.00,1,1,9,1,1,1,1,1,1,9,1,1,1,1,9,9,32,2,2,5,1,1.00,0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
8.00,1,1,5,1,1,1,1,1,1,9,1,1,1,1,1,1,49,2,2,2,1,1.00,0.50,2,0.00,-0.50,1,1,1,5,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,7.00,1.00,1.00,1.00,1.00
9.00,1,1,9,1,1,1,1,2,1,8,1,1,1,1,1,1,38,1,2,0,1,1.00,0.50,2,0.00,-0.50,2,2,1,8,1,1,1.00,1.50,1.50,1.00,1.00,1.00,1.00,1.25,8.50,1.50,1.00,1.00,1.00
10.00,1,1,9,1,1,1,1,1,1,9,1,1,1,1,8,8,25,1,2,2,1,1.00,0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
11.00,1,1,8,1,1,1,1,1,1,8,1,1,1,1,8,8,53,2,2,3,1,1.00,0.50,1,1.00,0.50,1,1,1,8,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00
12.00,1,1,1,1,1,1,1,1,1,9,1,1,1,1,9,9,56,1,2,0,1,1.00,0.50,1,1.00,0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00
13.00,1,1,9,1,1,1,1,1,1,9,1,1,1,1,9,7,30,2,5,0,1,1.00,0.50,1,1.00,0.50,1,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
14.00,1,1,9,1,1,1,1,1,1,9,1,1,1,1,1,1,21,1,5,0,1,1.00,0.50,2,0.00,-0.50,1,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
